Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Population,Incident_Rate,Case_Fatality_Ratio
Astrakhan Oblast,Russia,47.1878186,47.608851,30712,668,28814.0,1230.0,1017513.9999999998,3018.336848436484,2.1750455847877053
Asturias,Spain,43.3614,-5.8593,47263,1891,1063.0,44309.0,1022204.9999999999,4623.632245978058,4.001015593593297
Atacama,Chile,-27.5661,-70.0503,14282,170,13602.0,510.0,288944.0,4942.826291599757,1.190309480464921
Atlantico,Colombia,10.6966,-74.8741,151635,4494,137149.0,9992.0,2535517.0,5980.437125840607,2.9636957166880995
Australian Capital Territory,Australia,-35.4735,149.0124,123,3,120.0,0.0,428099.99999999994,28.73160476524177,2.4390243902439024
Ayacucho,Peru,-14.091648,-74.08344,22904,1390,0.0,21514.0,668200.0,3427.7162526189763,6.068808941669578
Aysen,Chile,-45.9864,-73.7669,3531,28,3386.0,117.0,103158.0,3422.9046705054384,0.7929764939110734
Azad Jammu and Kashmir,Pakistan,34.027401,73.947253,12805,355,10945.0,1505.0,4045365.9999999995,316.5350180923062,2.7723545490042953
Baden-Wurttemberg,Germany,48.6616,9.3501,365009,8704,329300.0,27005.0,11103043.0,3287.4681292326795,2.3845987359215797
Bahia,Brazil,-12.5797,-41.7007,803664,15330,769689.0,18645.0,14873064.0,5403.486463851698,1.9075135877680223
Baja California,Mexico,30.8406,-115.2838,46404,7791,0.0,38613.0,3634868.0,1276.6350800084074,16.789500905094386
Baja California Sur,Mexico,26.0444,-111.6661,28334,1271,0.0,27063.0,804708.0,3521.0287458307857,4.485776805251642
Baleares,Spain,39.710358,2.995148,57676,777,1533.0,55366.0,1188220.0,4853.983269091582,1.3471808031070116
Balochistan,Pakistan,28.328492,65.898403,19576,208,19106.0,262.0,12344408.0,158.58192632647916,1.0625255414793624
Bashkortostan Republic,Russia,54.8573563,57.1439682,32358,361,27452.0,4545.0,4063293.0,796.3491680270165,1.1156437357067803
Basilicata,Italy,40.63947052,15.80514834,19458,443,14241.0,4774.0,562869.0,3456.9322524423974,2.27669853016754
Bayern,Germany,48.7904,11.4979,500549,13264,451300.0,35985.0,13140183.0,3809.300068347602,2.6498904203184903
Beijing,China,40.1824,116.4142,1049,9,1037.0,3.0,21893095.0,4.791465071521409,0.8579599618684461
Belgorod Oblast,Russia,50.7080119,37.5837615,34282,562,32032.0,1688.0,1549876.0,2211.9188889949905,1.639344262295082
Berlin,Germany,52.52,13.405,146268,3055,134400.0,8813.0,3664088.0,3991.934691524876,2.0886318265102415
Bermuda,United Kingdom,32.3078,-64.7505,1217,12,729.0,476.0,62273.000000000015,1954.2980103736768,0.9860312243221034
Bihar,India,25.679658,85.60484,265527,1576,262371.0,1580.0,124799926.0,212.7621453878106,0.5935366271603264
Biobio,Chile,-37.4464,-72.1416,95470,1557,89123.0,4790.0,1556805.0,6132.431486281198,1.630878810097413
Blekinge,Sweden,56.2784,15.018,8956,120,0.0,8836.0,159606.0,5611.317870255504,1.3398838767306833
Bolivar,Colombia,8.6704,-74.03,69563,1409,67543.0,611.0,2070110.0,3360.3528314920463,2.025502062878254
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,196,3,180.0,13.0,26221.0,747.492467869265,1.530612244897959
Boyaca,Colombia,5.4545,-73.362,48119,1154,46147.0,818.0,1217376.0,3952.681833714481,2.3982210769134853
Brandenburg,Germany,52.4125,12.5316,88464,3306,78140.0,7018.0,2531071.0,3495.121235239944,3.7371134020618557
Bremen,Germany,53.0793,8.8017,20979,407,19040.0,1532.0,680130.0,3084.5573640333464,1.9400352733686066
British Columbia,Canada,53.7267,-127.6476,100048,1458,91066.0,7524.0,5214804.999999999,1918.5377017932599,1.4573004957620344
British Virgin Islands,United Kingdom,18.4207,-64.64,153,1,131.0,21.0,30237.000000000004,506.0025796209941,0.6535947712418301
Bryansk Oblast,Russia,52.8873315,33.41585300000001,35646,284,34786.0,576.0,1210982.0,2943.5615062816787,0.7967233350165517
Buryatia Republic,Russia,52.7182426,109.492143,36006,785,34392.0,829.0,984511.0,3657.2471003371215,2.1801921901905237
C. Valenciana,Spain,39.484,-0.7533,385658,7112,9970.0,368576.0,4974969.0,7751.967901709539,1.8441209569100083
Cajamarca,Peru,-6.430284,-78.74559599999998,40289,2442,0.0,37847.0,1453700.0,2771.4796725596752,6.06120777383405
Calabria,Italy,38.90597598,16.59440194,46958,819,35814.0,10325.0,1947131.0,2411.650782612983,1.7441117594446103
